ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
MIF	CD74	ciliated_cells	upreg	10	Bcell,DC_MD,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
MIF	CXCR2	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
MIF	CXCR4	ciliated_cells	upreg	7	Bcell,DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
MIF	TNFRSF10D	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
MUC2	AGR2	ciliated_cells	upreg	6	Bcell,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Treg
PI3	PLD2	ciliated_cells	upreg	3	MD_macrophage,NKcell_prolif,Nonresident_macrophage
PLA2G10	PLA2R1	ciliated_cells	upreg	1	NKcell_prolif
PLAT	ITGAM	ciliated_cells	downreg	6	Bcell,MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto
PLAT	LRP1	ciliated_cells	downreg	4	NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto
S100A4	AKT1	ciliated_cells	upreg	8	Bcell,DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
S100A6	ESR1	ciliated_cells	upreg	1	Bcell
S100A8	TLR4	ciliated_cells	upreg	1	Nonresident_macrophage
SAA1	F3	ciliated_cells	upreg	5	Bcell,Mastcell,NKcell_prolif,Nonresident_macrophage,Treg
SAA1	TLR2	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
SCGB3A1	MARCO	ciliated_cells	downreg	1	Nonresident_macrophage
SEMA5A	MET	ciliated_cells	downreg	1	Nonresident_macrophage
SLPI	CD4	ciliated_cells	upreg	6	DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Treg
SLPI	PLSCR1	ciliated_cells	upreg	8	Bcell,DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
SLPI	PLSCR4	ciliated_cells	upreg	1	NKcell_prolif
TFF1	FCRL4	ciliated_cells	upreg	1	Bcell
TFF1	ITGB1	ciliated_cells	upreg	9	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
TNC	ITGA1	ciliated_cells	downreg	3	NKcell_prolif,Tcell_cyto,Treg
TNC	ITGA2	ciliated_cells	downreg	1	NKcell_prolif
TNC	ITGA2B	ciliated_cells	downreg	1	Mastcell
TNC	ITGA3	ciliated_cells	downreg	1	NKcell_prolif
TNC	ITGA4	ciliated_cells	downreg	7	Bcell,MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
TNC	ITGA5	ciliated_cells	downreg	4	MD_macrophage,Nonresident_macrophage,Tcell_cyto,Treg
TNC	ITGA6	ciliated_cells	downreg	3	NKcell_prolif,Tcell_cyto,Treg
TNC	ITGA7	ciliated_cells	downreg	1	Tcell_cyto
TNC	ITGA9	ciliated_cells	downreg	1	Nonresident_macrophage
TNC	ITGAV	ciliated_cells	downreg	6	Bcell,MD_macrophage,Mastcell,Nonresident_macrophage,Tcell_cyto,Treg
TNC	ITGB1	ciliated_cells	downreg	9	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
TNC	ITGB4	ciliated_cells	downreg	3	NKcell_prolif,Tcell_cyto,Treg
TNC	ITGB5	ciliated_cells	downreg	2	NKcell_prolif,Nonresident_macrophage
TNC	ITGB6	ciliated_cells	downreg	1	NKcell_prolif
TNC	ITGB7	ciliated_cells	downreg	5	Bcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
TNC	ITGB8	ciliated_cells	downreg	4	Mastcell,NKcell_prolif,Nonresident_macrophage,Treg
TNC	NT5E	ciliated_cells	downreg	4	Bcell,MD_macrophage,NKcell_prolif,Resident_macrophage
TNC	SDC1	ciliated_cells	downreg	1	NKcell_prolif
TNC	SDC3	ciliated_cells	downreg	1	Nonresident_macrophage
ZG16B	CXCR4	ciliated_cells	upreg	7	Bcell,DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
ZG16B	TLR2	ciliated_cells	upreg	2	Nonresident_macrophage,Resident_macrophage
ZG16B	TLR4	ciliated_cells	upreg	1	Nonresident_macrophage
ZG16B	TLR5	ciliated_cells	upreg	3	Mastcell,NKcell_prolif,Nonresident_macrophage
ZG16B	TLR6	ciliated_cells	upreg	3	Bcell,Nonresident_macrophage,Tcell_cyto
