SYMBOL	gene_symbol	human_protein	viral_protein
EIF3A	nsp1	EIF3A	nsp1
GNAS	orf8	GNAS	orf8
GNAS	nsp12	GNAS	nsp12
GNAS	nsp13	GNAS	nsp13
GTF3C1	orf8	GTF3C1	orf8
GTF3C1	nsp15	GTF3C1	nsp15
SND1	orf8	SND1	orf8
SND1	orf7b	SND1	orf7b
SLC25A11	orf8	SLC25A11	orf8
SLC25A11	orf7b	SLC25A11	orf7b
MAN2A1	orf8	MAN2A1	orf8
EGFL7	orf8	EGFL7	orf8
UGGT2	orf8	UGGT2	orf8
ST8SIA4	orf8	ST8SIA4	orf8
TCTN3	orf8	TCTN3	orf8
TCTN3	nsp4	TCTN3	nsp4
NPTX1	orf8	NPTX1	orf8
TGFBI	orf8	TGFBI	orf8
LTBP1	orf8	LTBP1	orf8
TGFB2	orf8	TGFB2	orf8
CXCL5	orf8	CXCL5	orf8
NTS	orf8	NTS	orf8
PDIA3	orf8	PDIA3	orf8
ITGA3	orf8	ITGA3	orf8
IGFBP4	orf8	IGFBP4	orf8
IGFBP3	orf8	IGFBP3	orf8
PROS1	orf8	PROS1	orf8
SERPINE1	orf8	SERPINE1	orf8
FGB	orf8	FGB	orf8
FGA	orf8	FGA	orf8
TGFB1	orf8	TGFB1	orf8
PLAU	orf8	PLAU	orf8
SELENOF	orf8	SELENOF	orf8
NGLY1	orf8	NGLY1	orf8
PUSL1	orf8	PUSL1	orf8
FKBP10	orf8	FKBP10	orf8
FKBP7	orf8	FKBP7	orf8
HYOU1	orf8	HYOU1	orf8
ADAMTS1	orf8	ADAMTS1	orf8
CHPF2	orf8	CHPF2	orf8
FBXL12	orf8	FBXL12	orf8
PLEKHF2	orf8	PLEKHF2	orf8
SMOC1	orf8	SMOC1	orf8
POFUT1	orf8	POFUT1	orf8
SIL1	orf8	SIL1	orf8
EDEM3	orf8	EDEM3	orf8
ERP44	orf8	ERP44	orf8
TM2D3	orf8	TM2D3	orf8
GDF15	orf8	GDF15	orf8
NEU1	orf8	NEU1	orf8
SDF2	orf8	SDF2	orf8
IL17RA	orf8	IL17RA	orf8
ERLEC1	orf8	ERLEC1	orf8
EMC1	orf8	EMC1	orf8
CHPF	orf8	CHPF	orf8
FOXRED2	orf8	FOXRED2	orf8
PLD3	orf8	PLD3	orf8
PLD3	orf7b	PLD3	orf7b
ERO1B	orf8	ERO1B	orf8
POGLUT3	orf8	POGLUT3	orf8
POGLUT2	orf8	POGLUT2	orf8
