Gene	mean_expression	Log2_mean_expression	zscore
RUBCN	35.6664	5.196386720437779	-0.6006637044730675
RUFY1	92.243435	6.542930247854607	0.03357836457798246
RUFY2	47.152185	5.589529359563421	-0.4154876624110789
RUFY3	53.428115	5.766280167194294	-0.3322353978865862
RUNDC1	128.6627	7.018619709731389	0.2576351903571596
RUNDC3A-AS1	4.336018	2.4157635331767215	-1.9103786655059256
RUNDC3B	18.135455	4.258176300489504	-1.0425747944879449
RUNX1	36.397275	5.224861245021287	-0.5872517790362909
RUNX1-IT1	7.9631075000000004	3.1639989998714637	-1.5579486096842334
RUNX1T1	3.022576	2.008119678571424	-2.1023849961715184
RUNX2	17.657305	4.221668702516902	-1.0597704172084719
RUNX3	196.45620000000002	7.625388857997515	0.5434325019159729
RUSC1	652.77685	9.352654482478707	1.3570003526138934
RUSC2	2.418061	1.7731781441211938	-2.2130459602486314
RUVBL1	96.12328000000001	6.601745239296332	0.06128110207119997
RUVBL2	54.45028000000001	5.793122840280508	-0.31959209882463835
RWDD1	388.5052	8.605498778560092	1.0050788811515414
RWDD2A	6.8584905	2.9742522186788607	-1.6473221714362554
RWDD2B	72.9209	6.207910416814933	-0.1242209686670104
RWDD3	23.784914999999998	4.631390405973643	-0.866785388767514
RWDD4	128.97595	7.022100889754727	0.25927487802843474
RXRA	30.247715	4.9656787909438	-0.7093305775220586
RXRB	59.495225000000005	5.918749367180567	-0.2604201324332939
RYBP	245.41655	7.944955344350966	0.6939530795114164
RYK	94.16141	6.572304743120958	0.047414189618707775
RYR1	0.604515	0.682137276889561	-2.7269424685774233
RYR2	1.2090305	1.1434133380661968	-2.5096745693319913
S100A10	5373.2665	12.391852148382995	2.788507746642282
S100A11	7011.7865	12.775772091372605	2.9693397613776775
S100A13	185.6354	7.544078844563895	0.5051342738195975
S100A14	762.19415	9.575906302682176	1.4621552870681065
S100A16	2432.1655	11.24861873806989	2.250027772692789
S100A2	150.656	7.244658766530149	0.3641029547861474
S100A3	12.403537	3.7445418522137777	-1.284504274357962
S100A4	3238.758	11.661670336895714	2.444581231478262
S100A5	6.649665	2.9353965695803055	-1.6656237612302855
S100A6	20017.225	14.289026436779023	3.6821051102054683
S100A7A	5.044945	2.595729213157075	-1.8256121481933476
S100A8	1.2090305	1.1434133380661968	-2.5096745693319913
S100A9	4.336018	2.4157635331767215	-1.9103786655059256
S100P	341.1881	8.418645779030738	0.917068333689152
S100PBP	24.993945000000004	4.700103697532843	-0.8344204044038672
S1PR2	19.344485	4.346565855399748	-1.0009419968491493
S1PR3	2.418061	1.7731781441211938	-2.2130459602486314
SAA1	1.8135455	1.4923892945110127	-2.345301693032008
SAA2	10.48558	3.521751806805279	-1.38944170600188
SAAL1	19.55331	4.361298845779472	-0.9940025388134549
SAC3D1	31.247925000000002	5.011134427872263	-0.6879202951000353
SACM1L	148.216	7.221258429677808	0.35308104739174484
SACS	3.022576	2.008119678571424	-2.1023849961715184
SAE1	36.106	5.213580582821337	-0.5925651390490095
SAFB	53.136835000000005	5.758538640673033	-0.3358817722506423
SAFB2	72.71209999999999	6.203829555145921	-0.12614311533049807
SALL2	8.7764455	3.2893100284050587	-1.498925247725389
SALRNA1	1.8135455	1.4923892945110127	-2.345301693032008
SAMD1	1.8135455	1.4923892945110127	-2.345301693032008
SAMD10	104.273275	6.717995425582517	0.11603667229711224
SAMD12	147.50705	7.214387610757757	0.34984478928407853
SAMD13	35.083835	5.173280771658624	-0.6115469506977121
SAMD14	0.604515	0.682137276889561	-2.7269424685774233
SAMD4A	50.50995	5.686779234545012	-0.36968152197267373
SAMD4B	113.714705	6.84190652856333	0.1744006484574022
SAMD5	16.739555	4.148897914709797	-1.0940465427740482
SAMD8	15.426115	4.037919398486629	-1.1463190778361907
SAMD9	189.8451	7.57625833521501	0.5202912934896003
SAMD9L	101.811265	6.683854538637663	0.09995580574192407
SAMM50	191.70255	7.5902318524722565	0.5268730283661242
SAP130	108.79615	6.778683656929418	0.1446217337027006
SAP18	953.5886	9.898735297145702	1.6142125546047947
SAP25	20.679881	4.438284932705483	-0.9577409445419596
SAP30	7.3585945	3.0632603731255075	-1.6053980041967797
SAP30BP	126.55787000000001	6.995008102119326	0.24651377128634408
SAP30L	95.89248	6.598312794710337	0.059664369517220615
SAPCD1-AS1	30.66536	4.984833576228291	-0.7003083881878823
SAPCD2	11.5902025	3.6542295823443194	-1.3270426993969104
SAR1A	154.26115	7.278553068346641	0.38006767607100045
SAR1B	1180.5949999999998	10.206519911027675	1.7591836946800556
SARAF	452.58915	8.82524232073298	1.1085813643692244
SARM1	8.17193	3.197225344338873	-1.542298506265416
SARNP	101.04186999999999	6.67301743262632	0.09485136730438988
SARS	452.4462	8.824787579343237	1.1083671743976105
SARS2	44.255975	5.500036374018059	-0.45764019232352304
SART1	94.41412	6.5761308762816455	0.0492163553585371
SART3	67.040685	6.088325760302658	-0.18054712406326723
SASH1	28.7474	4.8946916735255765	-0.7427665677523
SASS6	11.69461	3.6661441685093576	-1.3214307517492192
SAT1	3011.1925	11.556598255840953	2.3950907154044785
SAT2	124.8048	6.975043158129339	0.23710998512802436
SATB1	52.92801	5.7529628927613965	-0.33850803261280615
SATB2	52.05417	5.729394244743468	-0.34960921707455395
SAV1	235.51895000000002	7.885811967317352	0.6660956675104646
SAYSD1	86.220235	6.446590972407064	-0.011798869909153756
SBDS	34.58373	5.15314584131179	-0.6210308029634262
SBDSP1	0.604515	0.682137276889561	-2.7269424685774233
SBF1	32.270085	5.056153646978951	-0.666715571976035
SBF2	85.28057	6.430963802371554	-0.019159499888748915
SBF2-AS1	8.067521	3.1807081814208957	-1.550078336156283
SBK1	11.48579	3.6422152011374775	-1.3327016519965442
SBNO1	200.3526	7.6535802912259525	0.5567110871055804
SBNO2	67.54079	6.09889091531921	-0.1755707785971854
SBSPON	42.96449	5.458266828079544	-0.4773142709551944
SC5D	522.04255	9.030784505610212	1.2053947966567748
SCAF1	70.77219	6.165353037527431	-0.14426612854719328
SCAF11	233.8098	7.875348811665436	0.6611673652652301
SCAF4	109.69194999999999	6.790406496651479	0.15014336591813804
SCAF8	166.494415	7.38796918035327	0.431604295462528
SCAI	19.866545000000002	4.383119839419546	-0.9837245256090988
SCAMP1	107.10893999999999	6.7563420205287645	0.13409848999893387
SCAMP1-AS1	45.151775	5.528314229962161	-0.4443209007468734
SCAMP2	715.10245	9.484022192813914	1.4188765019644736
SCAMP3	1039.3808	10.022895964680023	1.6726940793890661
SCAMP4	97.41478000000001	6.620803091666007	0.07025763455789925
SCAMP5	100.22852499999999	6.6614720714798725	0.08941333014304238
SCAND1	138.83505000000002	7.127582210883993	0.30895815227624507
SCAP	44.442845	5.50598125408969	-0.45484006521279763
SCAPER	62.308975000000004	5.984338132773971	-0.22952684636457885
SCARA3	6.8584905	2.9742522186788607	-1.6473221714362554
SCARB1	147.40269999999998	7.213373529989339	0.3493671421292333
SCARB2	613.98345	9.264403775959611	1.3154329546365966
SCARF1	4.9405335	2.5705925005954264	-1.8374519144241694
SCARNA12	3.6270915	2.2101056282507403	-2.0072466036610224
SCARNA16	0.604515	0.682137276889561	-2.7269424685774233
SCARNA17	1.2090305	1.1434133380661968	-2.5096745693319913
SCARNA18B	3.1269875000000003	2.045089068653811	-2.084971862485161
SCARNA22	13.00805	3.8081842333019753	-1.2545277643983113
SCARNA28	1.8135455	1.4923892945110127	-2.345301693032008
SCARNA5	0.604515	0.682137276889561	-2.7269424685774233
SCARNA9	25.911695	4.750161355099563	-0.8108425016769713
SCCPDH	148.29845	7.222055377424532	0.353456421657423
SCD	1167.153	10.190013529672232	1.7514089430658206
SCD5	104.042505	6.71482941618276	0.11454543468655469
SCEL	15.634936	4.056144410602568	-1.137734825520881
SCFD1	163.87285	7.365210036123041	0.42088439934888117
SCFD2	49.19651	5.64951515665858	-0.38723345800649045
SCG2	1.2090305	1.1434133380661968	-2.5096745693319913
SCG5	33.68794	5.1163622612530935	-0.638356417359485
SCGB1A1	680.6338000000001	9.412853065660308	1.3853547824363623
SCGB3A1	121.01279	6.930888576107307	0.2163125189566475
SCGN	9.672245	3.415791786483877	-1.4393504547032756
SCHLAP1	1.2090305	1.1434133380661968	-2.5096745693319913
SCIMP	1.8135455	1.4923892945110127	-2.345301693032008
SCIN	280.3189	8.136062671045567	0.7839674784711895
SCLT1	21.471265	4.490009436933314	-0.9333779321965412
SCMH1	13.403747500000001	3.848372309074795	-1.2355985817834492
SCML1	9.881067	3.4437481294288657	-1.4261826005407405
SCML4	6.649665	2.9353965695803055	-1.6656237612302855
