ligand	ligand_lfc	receptor	receptor_expression	ligand_cell_source	receptor_cell_target
HLA-B	0.6193	KLRC4	6.913236573314554	ciliated_cells	Tcell_cyto
HLA-B	0.6193	KLRC3	5.510345516281359	ciliated_cells	Tcell_cyto
HLA-B	0.6193	KLRC2	6.673834700816559	ciliated_cells	Tcell_cyto
HLA-B	0.6193	KIR3DL2	2.4616768749185365	ciliated_cells	Tcell_cyto
HLA-B	0.6193	CD3D	10.290710906388592	ciliated_cells	Tcell_cyto
HLA-B	0.6193	CANX	7.862099372322901	ciliated_cells	Tcell_cyto
HLA-B	0.6193	CD3G	9.75466034080708	ciliated_cells	Tcell_cyto
DEFB4A	0.63518	CCR6	4.374590811141204	ciliated_cells	Tcell_cyto
ANXA1	0.69597	LMTK2	4.374908579740443	ciliated_cells	Tcell_cyto
DEFB1	0.71929	CCR6	4.374590811141204	ciliated_cells	Tcell_cyto
HLA-C	0.7672399999999999	KIR3DL2	2.4616768749185365	ciliated_cells	Tcell_cyto
HLA-C	0.7672399999999999	KLRC1	8.472186320058569	ciliated_cells	Tcell_cyto
HLA-C	0.7672399999999999	KLRC3	5.510345516281359	ciliated_cells	Tcell_cyto
HLA-C	0.7672399999999999	KLRC2	6.673834700816559	ciliated_cells	Tcell_cyto
HLA-C	0.7672399999999999	KLRC4	6.913236573314554	ciliated_cells	Tcell_cyto
HLA-C	0.7672399999999999	CD3D	10.290710906388592	ciliated_cells	Tcell_cyto
HLA-C	0.7672399999999999	CD3G	9.75466034080708	ciliated_cells	Tcell_cyto
CXCL17	0.80612	GPR35	3.827525901521281	ciliated_cells	Tcell_cyto
MIF	0.81587	CD74	8.26967737057004	ciliated_cells	Tcell_cyto
MIF	0.81587	CXCR4	7.467680511933084	ciliated_cells	Tcell_cyto
MDK	0.8494299999999999	ITGB1	5.283083397151004	ciliated_cells	Tcell_cyto
MDK	0.8494299999999999	LRP1	2.4661588069930933	ciliated_cells	Tcell_cyto
MDK	0.8494299999999999	ITGA4	7.786840283555708	ciliated_cells	Tcell_cyto
MDK	0.8494299999999999	ITGA6	3.3293262800284005	ciliated_cells	Tcell_cyto
MDK	0.8494299999999999	TSPAN1	4.254724596495164	ciliated_cells	Tcell_cyto
ZG16B	0.87036	TLR6	2.4557320662434097	ciliated_cells	Tcell_cyto
ZG16B	0.87036	CXCR4	7.467680511933084	ciliated_cells	Tcell_cyto
CXCL3	0.90676	CCR6	4.374590811141204	ciliated_cells	Tcell_cyto
CXCL3	0.90676	CCR1	6.580693724592988	ciliated_cells	Tcell_cyto
CXCL3	0.90676	CCR2	2.4661588069930933	ciliated_cells	Tcell_cyto
CXCL3	0.90676	CXCR3	6.345495525580406	ciliated_cells	Tcell_cyto
CXCL3	0.90676	CXCR6	7.872564465159167	ciliated_cells	Tcell_cyto
CXCL3	0.90676	CXCR4	7.467680511933084	ciliated_cells	Tcell_cyto
CXCL3	0.90676	CCR5	7.391214150896954	ciliated_cells	Tcell_cyto
TFF1	1.06891	ITGB1	5.283083397151004	ciliated_cells	Tcell_cyto
CXCL6	1.1442700000000001	CCR6	4.374590811141204	ciliated_cells	Tcell_cyto
CXCL6	1.1442700000000001	CCR1	6.580693724592988	ciliated_cells	Tcell_cyto
CXCL6	1.1442700000000001	CCR2	2.4661588069930933	ciliated_cells	Tcell_cyto
CXCL6	1.1442700000000001	CXCR4	7.467680511933084	ciliated_cells	Tcell_cyto
CXCL6	1.1442700000000001	CXCR3	6.345495525580406	ciliated_cells	Tcell_cyto
CXCL6	1.1442700000000001	CCR5	7.391214150896954	ciliated_cells	Tcell_cyto
CXCL6	1.1442700000000001	CXCR6	7.872564465159167	ciliated_cells	Tcell_cyto
LCN2	1.63619	NR3C1	6.970479046229974	ciliated_cells	Tcell_cyto
LCN2	1.63619	PKD1	4.599923981432212	ciliated_cells	Tcell_cyto
S100A4	1.72412	AKT1	5.655494153421944	ciliated_cells	Tcell_cyto
CXCL1	1.8271400000000002	CCR6	4.374590811141204	ciliated_cells	Tcell_cyto
CXCL1	1.8271400000000002	CCR1	6.580693724592988	ciliated_cells	Tcell_cyto
CXCL1	1.8271400000000002	CCR2	2.4661588069930933	ciliated_cells	Tcell_cyto
CXCL1	1.8271400000000002	CXCR4	7.467680511933084	ciliated_cells	Tcell_cyto
CXCL1	1.8271400000000002	CXCR3	6.345495525580406	ciliated_cells	Tcell_cyto
CXCL1	1.8271400000000002	CXCR6	7.872564465159167	ciliated_cells	Tcell_cyto
CXCL1	1.8271400000000002	CCR5	7.391214150896954	ciliated_cells	Tcell_cyto
HSPA1A	-1.59207	NR3C1	7.50996485545738	ciliated_cells	Treg
HSPA1A	-1.59207	ENPP1	4.1164654734214805	ciliated_cells	Treg
EGFR	-0.85146	ITGA5	6.086094081963155	ciliated_cells	Treg
EGFR	-0.85146	ITGA6	3.1940271699654916	ciliated_cells	Treg
EGFR	-0.85146	IL6ST	4.050442101689604	ciliated_cells	Treg
EGFR	-0.85146	RIPK1	5.931724046076309	ciliated_cells	Treg
EGFR	-0.85146	CD5	6.1159790209645495	ciliated_cells	Treg
EGFR	-0.85146	AKT1	5.722414416927556	ciliated_cells	Treg
EGFR	-0.85146	ITGB4	3.2162364963373378	ciliated_cells	Treg
EGFR	-0.85146	PPARG	4.598553564619203	ciliated_cells	Treg
EGFR	-0.85146	IFNAR2	6.048268842186607	ciliated_cells	Treg
EGFR	-0.85146	F3	4.508838272849676	ciliated_cells	Treg
EGFR	-0.85146	EZR	7.725996964689968	ciliated_cells	Treg
EGFR	-0.85146	PTPRE	6.283460086687934	ciliated_cells	Treg
FGFR3	-0.74558	ITGB4	3.2162364963373378	ciliated_cells	Treg
LYPD3	-0.60158	AGR2	3.27643818688167	ciliated_cells	Treg
TNC	-0.59386	ITGA1	8.422701405641508	ciliated_cells	Treg
TNC	-0.59386	ITGA4	8.593997482131108	ciliated_cells	Treg
TNC	-0.59386	ITGA5	6.086094081963155	ciliated_cells	Treg
TNC	-0.59386	ITGA6	3.1940271699654916	ciliated_cells	Treg
TNC	-0.59386	ITGB1	6.8943304639844865	ciliated_cells	Treg
TNC	-0.59386	ITGB4	3.2162364963373378	ciliated_cells	Treg
TNC	-0.59386	ITGB7	6.370072952728297	ciliated_cells	Treg
TNC	-0.59386	ITGB8	3.079313272134762	ciliated_cells	Treg
TNC	-0.59386	ITGAV	2.481842460430878	ciliated_cells	Treg
SLPI	0.50459	CD4	4.942749568950854	ciliated_cells	Treg
SLPI	0.50459	PLSCR1	6.204538575543521	ciliated_cells	Treg
HLA-A	0.52596	APLP2	4.120203423389879	ciliated_cells	Treg
HLA-A	0.52596	KIR3DL2	2.6999240803451974	ciliated_cells	Treg
HLA-A	0.52596	KLRC1	7.5332747646831715	ciliated_cells	Treg
HLA-A	0.52596	KLRC3	3.114008368885474	ciliated_cells	Treg
HLA-A	0.52596	KLRC2	5.125535377763099	ciliated_cells	Treg
HLA-A	0.52596	KLRC4	2.4665599578839372	ciliated_cells	Treg
HLA-A	0.52596	IL2RA	4.365792781946001	ciliated_cells	Treg
HLA-A	0.52596	IL2RB	5.985453216335179	ciliated_cells	Treg
HLA-A	0.52596	IL2RG	7.845768358380205	ciliated_cells	Treg
HLA-A	0.52596	CD3D	10.36398111171989	ciliated_cells	Treg
HLA-A	0.52596	CD3G	9.964735700865958	ciliated_cells	Treg
HLA-DMA	0.53127	CD74	7.518231257638893	ciliated_cells	Treg
