source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
ARNT	ASAP1	A8K6P0	A0A0A0MRE5	1	0
ARNT	CDH4	A8K6P0	P55283	1	0
ARNT	CTNNA2	A8K6P0	P26232	1	0
ARNT	DAAM1	A8K6P0	Q9Y4D1	1	0
ARNT	DOCK1	A8K6P0	B2RUU3	1	0
ARNT	DOCK4	A8K6P0	Q8N1I0	1	0
ARNT	DST	A8K6P0	B4DSS9	1	0
ARNT	DYNC2H1	A8K6P0	Q8NCM8	1	0
ARNT	EIF3H	A8K6P0	O15372	1	0
ARNT	ENO1	A8K6P0	P06733	1	0
ARNT	ERC1	A8K6P0	G8JLD3	1	0
ARNT	EXOC6B	A8K6P0	A0A0U1RRB6	1	0
ARNT	FNDC3B	A8K6P0	Q53EP0	1	0
ARNT	GLI3	A8K6P0	P10071	1	0
ARNT	GTDC1	A8K6P0	Q4AE62	1	0
ARNT	IQSEC1	A8K6P0	A0A087WWK8	1	0
ARNT	LPP	A8K6P0	B7ZLW0	1	0
ARNT	MACROD2	A8K6P0	A1Z1Q3	1	0
ARNT	MED13L	A8K6P0	Q71F56	1	0
ARNT	MID1	A8K6P0	A0A024RBV4	1	0
ARNT	NBEA	A8K6P0	Q8NFP9	1	0
ARNT	NFASC	A8K6P0	O94856	1	0
ARNT	NFIA	A8K6P0	Q12857	1	0
ARNT	NLGN1	A8K6P0	Q8N2Q7	1	0
ARNT	PIP4K2A	A8K6P0	P48426	1	0
ARNT	PTK2	A8K6P0	Q05397	1	0
ARNT	PTPRD	A8K6P0	Q59H90	1	0
ARNT	PTPRR	A8K6P0	Q15256	1	0
ARNT	RBMS1	A8K6P0	A0A0S2Z499	1	0
ARNT	RBMS3	A8K6P0	Q6XE24	1	0
ARNT	RBPJ	A8K6P0	Q06330	1	0
ARNT	RREB1	A8K6P0	A0A024QZU8	1	0
ARNT	SLC22A23	A8K6P0	A1A5C7	1	0
ARNT	SORL1	A8K6P0	A0A024R3H2	1	0
ARNT	SOX5	A8K6P0	P35711	1	0
ARNT	SPAG9	A8K6P0	O60271	1	0
ARNT	SPOCK1	A8K6P0	Q08629	1	0
ARNT	TBC1D5	A8K6P0	Q92609	1	0
ARNT	TCF12	A8K6P0	F5GY10	1	0
ARNT	TCF4	A8K6P0	B3KVA4	1	0
ARNT	TENM2	A8K6P0	F8VNQ3	1	0
ARNT	TFRC	A8K6P0	P02786	1	0
ARNT	THSD7A	A8K6P0	Q9UPZ6	1	0
ARNT	TRIO	A8K6P0	O75962	1	0
ARNT	TTLL5	A8K6P0	Q6EMB2	1	0
ARNT	UVRAG	A8K6P0	Q9P2Y5	1	0
ARNT	VGLL4	A8K6P0	G5E9M7	1	0
ARNT	VPS13B	A8K6P0	Q7Z7G8	1	0
ARNT	VPS13D	A8K6P0	Q5THJ4	1	0
ARNTL	AVP	A0A140VKD3	P01185	1	0
ARNTL	BHLHE40	A0A140VKD3	O14503	1	0
ARNTL	CRY1	A0A140VKD3	A2I2P0	1	0
ARNTL	CRY2	A0A140VKD3	Q49AN0	1	0
ARNTL	DBP	A0A140VKD3	Q10586	1	0
ARNTL	NR1D1	A0A140VKD3	F1D8S3	1	0
ARNTL	NR1D2	A0A140VKD3	B4DXD3	1	0
ARNTL	PER1	A0A140VKD3	O15534	1	0
ARNTL	PER2	A0A140VKD3	O15055	1	0
ARNTL	PER3	A0A140VKD3	A0A087WV69	1	0
ATF1	BCL2	P18846	A0A024R2B3	1	0
ATF1	CCNA1	P18846	A0A140VJG0	0	1
ATF1	CFTR	P18846	A0A024R730	1	0
ATF1	CIITA	P18846	A0A0B4J1S1	1	0
ATF1	ERBB2	P18846	P04626	1	0
ATF1	FLT1	P18846	P17948	1	0
ATF1	IL10	P18846	P22301	1	0
ATF1	LDHA	P18846	P00338	1	0
ATF1	MAP1LC3B	P18846	Q658J6	1	0
ATF1	NTS	P18846	P30990	1	0
ATF1	PCSK1	P18846	P29120	1	0
ATF1	PLAUR	P18846	Q03405	1	0
ATF1	SLC20A1	P18846	A7LNJ1	1	0
ATF1	TGFB2	P18846	P61812	1	0
ATF1	TOP2A	P18846	P11388	1	0
ATF1	UGT8	P18846	Q16880	1	0
ATF2	ATF3	P15336	P18847	1	0
ATF2	CCND1	P15336	P24385	1	0
ATF2	CDKN1A	P15336	A0A024RCX5	1	0
ATF2	DUSP1	P15336	B4DU40	1	0
ATF2	FN1	P15336	B7ZLE5	1	0
ATF2	FOS	P15336	P01100	1	0
ATF2	IFNG	P15336	P01579	1	0
ATF2	IMPDH2	P15336	P12268	1	0
ATF2	JUN	P15336	P05412	1	0
ATF2	MMP2	P15336	P08253	1	0
ATF2	NOS3	P15336	P29474	0	1
ATF2	NR4A2	P15336	F1D8N6	1	0
ATF2	PCK2	P15336	A0A0A0MS74	1	0
ATF2	PLAT	P15336	P00750	1	0
ATF2	PTGS2	P15336	P35354	1	0
ATF2	RB1	P15336	A0A024RDV3	1	0
ATF2	TGFB2	P15336	P61812	0	1
ATF2	TNF	P15336	P01375	1	0
ATF3	ASNS	P18847	P08243	1	0
ATF3	CCL5	P18847	D0EI67	0	1
ATF3	DDIT3	P18847	P35638	1	0
ATF3	GCLC	P18847	E1CEI4	0	1
ATF3	GDF15	P18847	Q99988	1	0
ATF3	ID1	P18847	P41134	0	1
ATF3	LDLR	P18847	A0A024R7D5	0	1
ATF3	SELE	P18847	P16581	0	1
ATF3	STAT3	P18847	P40763	0	1
ATF3	AKAP13	P18847	A8MYJ1	0	1
ATF3	ANXA1	P18847	P04083	0	1
ATF3	BHLHE40	P18847	O14503	0	1
ATF3	COA7	P18847	Q96BR5	0	1
ATF3	CREB5	P18847	Q02930	0	1
ATF3	ELMSAN1	P18847	A0A024R689	0	1
ATF3	ETS2	P18847	P15036	0	1
ATF3	FAM49B	P18847	A0A024R9G4	0	1
ATF3	GLIS3	P18847	Q1PHJ8	0	1
ATF3	GNA12	P18847	E9PC54	0	1
ATF3	HSPB1	P18847	P04792	0	1
ATF3	KDM4C	P18847	Q9H3R0	0	1
ATF3	KDM6B	P18847	O15054	0	1
ATF3	KLF6	P18847	D3GC14	0	1
ATF3	MAPKAP1	P18847	Q9BPZ7	0	1
ATF3	MAPRE2	P18847	Q15555	0	1
ATF3	MED15	P18847	Q6PKB8	0	1
ATF3	MYO18A	P18847	Q92614	0	1
ATF3	NFIA	P18847	Q12857	0	1
ATF3	PCBP1	P18847	Q15365	0	1
ATF3	PDE4B	P18847	Q07343	0	1
ATF3	PER1	P18847	O15534	0	1
ATF3	PTP4A1	P18847	A0A024R8J2	0	1
ATF3	RAD9A	P18847	Q99638	0	1
ATF3	RCAN1	P18847	P53805	0	1
ATF3	RUNX1	P18847	Q01196	0	1
ATF3	SMOX	P18847	Q9NWM0	0	1
ATF3	SND1	P18847	A0A140VK49	0	1
ATF3	SPAG9	P18847	O60271	0	1
ATF3	SPRED2	P18847	B3KPL5	0	1
ATF3	SREBF1	P18847	P36956	0	1
ATF3	SYTL2	P18847	Q9HCH5	0	1
ATF3	TOM1L2	P18847	Q6ZVM7	0	1
ATF3	TRIB1	P18847	Q96RU8	0	1
ATF3	TSC22D2	P18847	B4DN36	0	1
ATF3	UBC	P18847	P0CG48	0	1
ATF3	VGLL4	P18847	G5E9M7	0	1
ATF3	VMP1	P18847	Q96GC9	0	1
ATF3	ZBTB20	P18847	Q9HC78	0	1
ATF3	ZFP36L1	P18847	A0A024R658	0	1
ATF4	ASNS	P18848	P08243	1	0
ATF4	ATF3	P18848	P18847	1	0
ATF4	CEBPB	P18848	P17676	1	0
ATF4	CHAC1	P18848	Q9BUX1	1	0
ATF4	DDIT3	P18848	P35638	1	0
ATF4	DDIT4	P18848	A0A024QZQ6	1	0
ATF4	DDR2	P18848	A0A024R906	1	0
ATF4	DISC1	P18848	Q9NRI5	1	0
ATF4	HRK	P18848	O00198	1	0
ATF4	MCL1	P18848	A0A087WT64	1	0
ATF4	NUPR1	P18848	O60356	1	0
ATF4	PTGS2	P18848	P35354	1	0
ATF4	TRIB3	P18848	Q96RU7	1	0
ATF4	VEGFA	P18848	A0A087WUD8	1	0
ATF6	ATP2A2	A8K383	P16615	1	0
ATF6	CALR	A8K383	P27797	1	0
ATF6	DDIT3	A8K383	P35638	1	0
ATF6	DNAJC3	A8K383	A8KA82	1	0
ATF6	HSP90B1	A8K383	P14625	1	0
ATF6	HSPA5	A8K383	P11021	1	0
ATF6	RTN3	A8K383	O95197	1	0
ATF6	SEL1L	A8K383	Q9UBV2	1	0
ATF6	SRF	A8K383	B4DU24	1	0
ATF6	XBP1	A8K383	P17861	1	0
ATF7	ARID1A	P17544	O14497	1	0
ATF7	ARID1B	P17544	Q8NFD5	1	0
ATF7	CMIP	P17544	Q8IY22	1	0
ATF7	CREB3L2	P17544	Q70SY1	1	0
ATF7	CREBBP	P17544	Q92793	1	0
ATF7	DEPDC5	P17544	O75140	1	0
ATF7	DST	P17544	B4DSS9	1	0
ATF7	EML2	P17544	O95834	1	0
ATF7	EXOC4	P17544	Q6NX51	1	0
