all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
deg	NA	NA	deg	CSF1	0.814852159	A0A024R0A1	A0A024R0A1	viralmirna;viralprotein	1.70E-22	NA	FALSE	A0A024R0A1	NA
deg	NA	NA	deg	CXCL2	1.283049763	A0A024RDD9	A0A024RDD9	viralmirna;viralprotein	1.79E-28	NA	FALSE	A0A024RDD9	NA
deg	NA	NA	deg	CXCL3	0.961438999	P19876	P19876	viralmirna;viralprotein	3.96E-12	NA	FALSE	P19876	NA
deg	NA	NA	deg	S100A6	-0.58612517	P06703	P06703	viralmirna;viralprotein	5.06E-11	NA	FALSE	P06703	NA
deg	NA	NA	deg	CX3CL1	0.875600115	A0N0N7	A0N0N7	viralmirna;viralprotein	6.29E-26	NA	FALSE	A0N0N7	NA
deg	NA	NA	deg	TNFSF13B	0.616633324	Q9Y275	Q9Y275	viralmirna;viralprotein	4.18E-19	NA	FALSE	Q9Y275	NA
cov2	NA	cov2	NA	NA		cov-miR-1	cov-miR-1	viralmirna		NA	FALSE	cov-miR-1	NA
bindingprot	bindingprot	NA	NA	SENP8		Q96LD8	Q96LD8	viralmirna		NA	FALSE	Q96LD8	NA
bindingprot	bindingprot	NA	NA	MAPK6		Q16659	Q16659	viralmirna		NA	FALSE	Q16659	NA
bindingprot;protein	bindingprot	NA	NA	FLT1		P17948	P17948	viralmirna		protein	FALSE	P17948	NA
bindingprot	bindingprot	NA	NA	PPP2R2A	0.275121113	P63151	P63151	viralmirna	1.62E-05	NA	FALSE	P63151	NA
bindingprot	bindingprot	NA	NA	APLF		Q8IW19	Q8IW19	viralmirna		NA	FALSE	Q8IW19	NA
bindingprot	bindingprot	NA	NA	ACVR2B		Q13705	Q13705	viralmirna		NA	FALSE	Q13705	NA
bindingprot	bindingprot	NA	NA	VANGL1		Q8TAA9	Q8TAA9	viralmirna		NA	FALSE	Q8TAA9	NA
bindingprot	bindingprot	NA	NA	RPGRIP1L		Q68CZ1	Q68CZ1	viralmirna		NA	FALSE	Q68CZ1	NA
bindingprot	bindingprot	NA	NA	KDM5C		P41229	P41229	viralmirna		NA	FALSE	P41229	NA
bindingprot	bindingprot	NA	NA	PARD6B		Q9BYG5	Q9BYG5	viralmirna		NA	FALSE	Q9BYG5	NA
bindingprot	bindingprot	NA	NA	ARHGAP12		Q8IWW6	Q8IWW6	viralmirna		NA	FALSE	Q8IWW6	NA
bindingprot	bindingprot	NA	NA	BCORL1		Q5H9F3	Q5H9F3	viralmirna		NA	FALSE	Q5H9F3	NA
bindingprot	bindingprot	NA	NA	SCYL2		Q6P3W7	Q6P3W7	viralmirna		NA	FALSE	Q6P3W7	NA
cov2	NA	cov2	NA	NA		cov-miR-2	cov-miR-2	viralmirna		NA	FALSE	cov-miR-2	NA
bindingprot	bindingprot	NA	NA	FKBP5		Q13451	Q13451	viralmirna		NA	FALSE	Q13451	NA
bindingprot	bindingprot	NA	NA	GRIN2A		Q12879	Q12879	viralmirna		NA	FALSE	Q12879	NA
