all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
cov2	NA	cov2	NA	orf10		A0A663DJA2	A0A663DJA2	viralprotein		NA	FALSE	A0A663DJA2	NA
bindingprot	bindingprot	NA	NA	RPSA		P08865	P08865	viralprotein		NA	FALSE	P08865	NA
bindingprot	bindingprot	NA	NA	IMPDH2		P12268	P12268	viralprotein		NA	FALSE	P12268	NA
bindingprot	bindingprot	NA	NA	ATP2A2	-0.31743533	P16615	P16615	viralprotein	0.028176105	NA	FALSE	P16615	NA
bindingprot	bindingprot	NA	NA	HACD3		Q9P035	Q9P035	viralprotein		NA	FALSE	Q9P035	NA
protein	NA	NA	NA	XPO1	0.418914833	O14980	O14980	viralmirna;viralprotein	4.47E-10	protein	FALSE	O14980	NA
protein	NA	NA	NA	RBX1		P62877	P62877	viralmirna;viralprotein		protein	FALSE	P62877	NA
cov2	NA	cov2	NA	nsp2		P0DTC1-PRO_0000449636	P0DTC1-PRO_0000449636	viralprotein		NA	FALSE	P0DTC1-PRO_0000449636	NA
bindingprot;protein	bindingprot	NA	NA	NR2F2		P24468	P24468	viralmirna;viralprotein		protein	FALSE	P24468	NA
bindingprot	bindingprot	NA	NA	HSPA5	-0.549639992	P11021	P11021	viralprotein	5.70E-09	NA	FALSE	P11021	NA
cov2	NA	cov2	NA	nsp4		P0DTC1-PRO_0000449638	P0DTC1-PRO_0000449638	viralprotein		NA	FALSE	P0DTC1-PRO_0000449638	NA
bindingprot;protein	bindingprot	NA	NA	PRKDC	-0.27474497	P78527	P78527	viralmirna;viralprotein	0.001461544	protein	FALSE	P78527	NA
bindingprot	bindingprot	NA	NA	BAG2		O95816	O95816	viralprotein		NA	FALSE	O95816	NA
cov2	NA	cov2	NA	S		P0DTC2	P0DTC2	viralprotein		NA	FALSE	P0DTC2	NA
bindingprot;protein	bindingprot	NA	NA	DOCK7		Q96N67	Q96N67	viralprotein		protein	FALSE	Q96N67	NA
bindingprot;protein	bindingprot	NA	NA	BSG	-0.527317483	P35613	P35613	viralprotein	8.51E-16	protein	FALSE	P35613	NA
bindingprot	bindingprot	NA	NA	FURIN		P09958	P09958	viralprotein		NA	FALSE	P09958	NA
bindingprot	bindingprot	NA	NA	ACE2	-0.595232394	Q9BYF1	Q9BYF1	viralprotein	1.64E-04	NA	FALSE	Q9BYF1	NA
bindingprot	bindingprot	NA	NA	PCSK1		P29120	P29120	viralprotein		NA	FALSE	P29120	NA
bindingprot	bindingprot	NA	NA	CTSB		P07858	P07858	viralprotein		NA	FALSE	P07858	NA
bindingprot	bindingprot	NA	NA	CTSL		P07711	P07711	viralprotein		NA	FALSE	P07711	NA
bindingprot;protein	bindingprot	NA	NA	CCNB1		P14635	P14635	viralmirna;viralprotein		protein	FALSE	P14635	NA
cov2	NA	cov2	NA	orf3a		P0DTC3	P0DTC3	viralprotein		NA	FALSE	P0DTC3	NA
bindingprot;protein	bindingprot	NA	NA	UBA1		P22314	P22314	viralprotein		protein	FALSE	P22314	NA
bindingprot;protein	bindingprot	NA	NA	GAPDH	-0.456195131	P04406	P04406	viralmirna;viralprotein	2.26E-14	protein	FALSE	P04406	NA
bindingprot	bindingprot	NA	NA	BAG6		P46379	P46379	viralprotein		NA	FALSE	P46379	NA
bindingprot	bindingprot	NA	NA	SLC25A22		Q9H936	Q9H936	viralprotein		NA	FALSE	Q9H936	NA
bindingprot	bindingprot	NA	NA	DNAJA2		O60884	O60884	viralprotein		NA	FALSE	O60884	NA
bindingprot	bindingprot	NA	NA	PTBP1		P26599	P26599	viralprotein		NA;protein	FALSE	P26599	NA
bindingprot;protein	bindingprot	NA	NA	HMOX1		P09601	P09601	viralmirna;viralprotein		protein	FALSE	P09601	NA
bindingprot	bindingprot	NA	NA	IL13RA1		P78552	P78552	viralprotein		NA	FALSE	P78552	NA
bindingprot;protein	bindingprot	NA	NA	PLXNA1		Q9UIW2	Q9UIW2	viralmirna		NA;protein	FALSE	Q9UIW2	NA
bindingprot	bindingprot	NA	NA	BLVRA		P53004	P53004	viralprotein		NA	FALSE	P53004	NA
bindingprot	bindingprot	NA	NA	PTPRF	-0.318682542	P10586	P10586	viralprotein	0.010499793	NA	FALSE	P10586	NA
bindingprot	bindingprot	NA	NA	ZDHHC9		Q9Y397	Q9Y397	viralprotein		NA	FALSE	Q9Y397	NA
bindingprot	bindingprot	NA	NA	PROCR		Q9UNN8	Q9UNN8	viralmirna;viralprotein		NA	FALSE	Q9UNN8	NA
bindingprot	bindingprot	NA	NA	STUB1	-0.312327453	Q9UNE7	Q9UNE7	viralprotein	3.15E-04	NA	FALSE	Q9UNE7	NA
bindingprot	bindingprot	NA	NA	UBQLN1		Q9UMX0	Q9UMX0	viralprotein		NA	FALSE	Q9UMX0	NA
bindingprot	bindingprot	NA	NA	ZNRF3		Q9ULT6	Q9ULT6	viralprotein		NA	FALSE	Q9ULT6	NA
bindingprot	bindingprot	NA	NA	TNFRSF10D		Q9UBN6	Q9UBN6	viralprotein		NA	FALSE	Q9UBN6	NA
bindingprot;protein	bindingprot	NA	NA	SLK		Q9H2G2	Q9H2G2	viralprotein		protein	FALSE	Q9H2G2	NA
bindingprot;protein	bindingprot	NA	NA	WWP1		Q9H0M0	Q9H0M0	viralprotein		protein	FALSE	Q9H0M0	NA
bindingprot	bindingprot	NA	NA	EIF2A		Q9BY44	Q9BY44	viralprotein		NA	FALSE	Q9BY44	NA
bindingprot	bindingprot	NA	NA	NDFIP1	-0.376992965	Q9BT67	Q9BT67	viralprotein	2.76E-07	NA	FALSE	Q9BT67	NA
bindingprot	bindingprot	NA	NA	OSMR		Q99650	Q99650	viralprotein		NA	FALSE	Q99650	NA
bindingprot;protein	bindingprot	NA	NA	ITCH		Q96J02	Q96J02	viralmirna;viralprotein		protein	FALSE	Q96J02	NA
bindingprot	bindingprot	NA	NA	NEO1		Q92859	Q92859	viralprotein		NA	FALSE	Q92859	NA
bindingprot	bindingprot	NA	NA	TAX1BP1	-0.619451313	Q86VP1	Q86VP1	viralprotein	3.22E-21	NA	FALSE	Q86VP1	NA
bindingprot;protein	bindingprot	NA	NA	RHEB	-0.29091172	Q15382	Q15382	viralprotein	0.099571941	protein	FALSE	Q15382	NA
bindingprot	bindingprot	NA	NA	PPA1		Q15181	Q15181	viralprotein		NA	FALSE	Q15181	NA
bindingprot	bindingprot	NA	NA	TNIP1		Q15025	Q15025	viralprotein		NA	FALSE	Q15025	NA
bindingprot;protein	bindingprot	NA	NA	GNA13		Q14344	Q14344	viralmirna;viralprotein		protein	FALSE	Q14344	NA
bindingprot	bindingprot	NA	NA	LRP8		Q14114	Q14114	viralprotein		NA	FALSE	Q14114	NA
bindingprot;protein	bindingprot	NA	NA	BMPR2		Q13873	Q13873	viralprotein		protein	FALSE	Q13873	NA
bindingprot	bindingprot	NA	NA	NCOA4		Q13772	Q13772	viralprotein		NA	FALSE	Q13772	NA
bindingprot	bindingprot	NA	NA	TPBG		Q13641	Q13641	viralprotein		NA	FALSE	Q13641	NA
bindingprot	bindingprot	NA	NA	SNX1		Q13596	Q13596	viralmirna;viralprotein		NA	FALSE	Q13596	NA
bindingprot	bindingprot	NA	NA	ADAM9	-0.643595409	Q13443	Q13443	viralmirna;viralprotein	1.22E-14	NA	FALSE	Q13443	NA
bindingprot	bindingprot	NA	NA	BAMBI		Q13145	Q13145	viralprotein		NA	FALSE	Q13145	NA
bindingprot;protein	bindingprot	NA	NA	DLG1		Q12959	Q12959	viralprotein		protein	FALSE	Q12959	NA
bindingprot;protein	bindingprot	NA	NA	PTPRJ		Q12913	Q12913	viralprotein		NA;protein	FALSE	Q12913	NA
protein	NA	NA	NA	DDR1		Q08345	Q08345	viralmirna;viralprotein		protein	FALSE	Q08345	NA
bindingprot	bindingprot	NA	NA	IL10RB		Q08334	Q08334	viralprotein		NA	FALSE	Q08334	NA
protein	NA	NA	NA	PTPN11		Q06124	Q06124	viralmirna;viralprotein		protein	FALSE	Q06124	NA
protein	NA	NA	NA	ACVR1		Q04771	Q04771	viralmirna;viralprotein		protein	FALSE	Q04771	NA
bindingprot	bindingprot	NA	NA	NOTCH2		Q04721	Q04721	viralprotein		NA	FALSE	Q04721	NA
protein	NA	NA	NA	ROR1		Q01973	Q01973	viralmirna		NA;protein	FALSE	Q01973	NA
protein	NA	NA	NA	ADAM17		P78536	P78536	viralmirna;viralprotein		protein	FALSE	P78536	NA
bindingprot;protein	bindingprot	NA	NA	FKBP1A	-0.517752151	P62942	P62942	viralprotein	3.01E-08	protein	FALSE	P62942	NA
bindingprot	bindingprot	NA	NA	RHOB	0.885804545	P62745	P62745	viralprotein	6.53E-17	NA	FALSE	P62745	NA
bindingprot;deg	bindingprot	NA	deg	B2M	-0.971138192	P61769	P61769	viralmirna;viralprotein	1.48E-36	NA	FALSE	P61769	NA
bindingprot	bindingprot	NA	NA	RAB2A	-0.280894508	P61019	P61019	viralprotein	0.017830354	NA	FALSE	P61019	NA
bindingprot;protein	bindingprot	NA	NA	EPHB3		P54753	P54753	viralmirna;viralprotein		protein	FALSE	P54753	NA
bindingprot	bindingprot	NA	NA	LRBA		P50851	P50851	viralprotein		NA	FALSE	P50851	NA
protein	NA	NA	NA	GNAQ		P50148	P50148	viralmirna;viralprotein		protein	FALSE	P50148	NA
bindingprot;protein	bindingprot	NA	NA	GSK3A		P49840	P49840	viralmirna;viralprotein		protein	FALSE	P49840	NA
bindingprot	bindingprot	NA	NA	HINT1	-0.550883182	P49773	P49773	viralprotein	8.07E-10	NA	FALSE	P49773	NA
bindingprot;protein	bindingprot	NA	NA	GCLC		P48506	P48506	viralprotein		protein	FALSE	P48506	NA
bindingprot;protein	bindingprot	NA	NA	NOTCH1		P46531	P46531	viralmirna;viralprotein		protein	FALSE	P46531	NA
bindingprot	bindingprot	NA	NA	ECE1	0.312311005	P42892	P42892	viralprotein	0.002780414	NA	FALSE	P42892	NA
bindingprot	bindingprot	NA	NA	TNFSF9		P41273	P41273	viralprotein		NA	FALSE	P41273	NA
bindingprot	bindingprot	NA	NA	NAA10		P41227	P41227	viralprotein		NA	FALSE	P41227	NA
bindingprot	bindingprot	NA	NA	USP8		P40818	P40818	viralprotein		NA	FALSE	P40818	NA
protein	NA	NA	NA	IL6ST	0.411085913	P40189	P40189	viralmirna;viralprotein	1.13E-08	protein	FALSE	P40189	NA
bindingprot;protein	bindingprot	NA	NA	TGFBR2		P37173	P37173	viralmirna;viralprotein		protein	FALSE	P37173	NA
protein	NA	NA	NA	TGFBR1		P36897	P36897	viralmirna;viralprotein		protein	FALSE	P36897	NA
bindingprot;protein	bindingprot	NA	NA	ACVR1B		P36896	P36896	viralmirna;viralprotein		protein	FALSE	P36896	NA
protein	NA	NA	NA	BMPR1A		P36894	P36894	viralmirna;viralprotein		protein	FALSE	P36894	NA
protein	NA	NA	NA	AXL		P30530	P30530	viralmirna		NA;protein	FALSE	P30530	NA
bindingprot;protein	bindingprot	NA	NA	SHC1		P29353	P29353	viralmirna;viralprotein		protein	FALSE	P29353	NA
bindingprot;protein	bindingprot	NA	NA	EPHB2		P29323	P29323	viralmirna;viralprotein		protein	FALSE	P29323	NA
bindingprot;protein	bindingprot	NA	NA	EPHA2	0.402979129	P29317	P29317	viralmirna;viralprotein	3.15E-08	protein	FALSE	P29317	NA
bindingprot	bindingprot	NA	NA	PTPRM		P28827	P28827	viralprotein		NA	FALSE	P28827	NA
bindingprot	bindingprot	NA	NA	ACVR2A		P27037	P27037	viralprotein		NA	FALSE	P27037	NA
protein	NA	NA	NA	ITGA6	-0.414249002	P23229	P23229	viralmirna;viralprotein	2.03E-06	protein	FALSE	P23229	NA
bindingprot	bindingprot	NA	NA	RAB5A		P20339	P20339	viralprotein		NA	FALSE	P20339	NA
protein	NA	NA	NA	TNFRSF1A		P19438	P19438	viralmirna		NA;protein	FALSE	P19438	NA
bindingprot	bindingprot	NA	NA	PTPRA		P18433	P18433	viralprotein		NA	FALSE	P18433	NA
protein	NA	NA	NA	LGALS3	-0.96578797	P17931	P17931	viralmirna	2.00E-19	NA;protein	FALSE	P17931	NA
protein	NA	NA	NA	CD44	0.686392637	P16070	P16070	viralmirna;viralprotein	3.76E-05	protein	FALSE	P16070	NA
bindingprot	bindingprot	NA	NA	ATP6V1B1		P15313	P15313	viralprotein		NA	FALSE	P15313	NA
protein	NA	NA	NA	EZR	-0.675351275	P15311	P15311	viralmirna	4.43E-17	NA;protein	FALSE	P15311	NA
protein	NA	NA	NA	IFNGR1	-0.408348857	P15260	P15260	viralmirna;viralprotein	2.67E-04	protein	FALSE	P15260	NA
bindingprot	bindingprot	NA	NA	PVR		P15151	P15151	viralprotein		NA	FALSE	P15151	NA
bindingprot;protein	bindingprot	NA	NA	HLA-E		P13747	P13747	viralmirna;viralprotein		protein	FALSE	P13747	NA
bindingprot	bindingprot	NA	NA	HLA-C	-0.875770736	P10321	P10321	viralprotein	1.75E-25	NA	FALSE	P10321	NA
bindingprot	bindingprot	NA	NA	UCHL1		P09936	P09936	viralprotein		NA	FALSE	P09936	NA
bindingprot	bindingprot	NA	NA	ANXA5	-0.322390769	P08758	P08758	viralprotein	0.005786325	NA	FALSE	P08758	NA
bindingprot;protein	bindingprot	NA	NA	MET		P08581	P08581	viralmirna;viralprotein		protein	FALSE	P08581	NA
bindingprot	bindingprot	NA	NA	GPI		P06744	P06744	viralprotein		NA	FALSE	P06744	NA
bindingprot	bindingprot	NA	NA	HLA-A	-0.812997608	P04439	P04439	viralprotein	4.13E-27	NA	FALSE	P04439	NA
bindingprot	bindingprot	NA	NA	STAM2		O75886	O75886	viralprotein		NA	FALSE	O75886	NA
bindingprot	bindingprot	NA	NA	TNFRSF21		O75509	O75509	viralprotein		NA	FALSE	O75509	NA
bindingprot;protein	bindingprot	NA	NA	ADCY9		O60503	O60503	viralprotein		protein	FALSE	O60503	NA
protein	NA	NA	NA	SPAG9	0.460443196	O60271	O60271	viralmirna;viralprotein	1	protein	FALSE	O60271	NA
bindingprot;protein	bindingprot	NA	NA	ADCY6		O43306	O43306	viralprotein		protein	FALSE	O43306	NA
bindingprot	bindingprot	NA	NA	TNFRSF10B	0.361628523	O14763	O14763	viralprotein	1.45E-10	NA	FALSE	O14763	NA
bindingprot	bindingprot	NA	NA	TNFRSF10A		O00220	O00220	viralprotein		NA	FALSE	O00220	NA
bindingprot	bindingprot	NA	NA	LTBR		P36941	P36941	viralprotein		NA	FALSE	P36941	NA
cov2	NA	cov2	NA	E		P0DTC4	P0DTC4	viralprotein		NA	FALSE	P0DTC4	NA
bindingprot	bindingprot	NA	NA	EMD		P50402	P50402	viralprotein		NA	FALSE	P50402	NA
bindingprot	bindingprot	NA	NA	BRD4	0.441126646	O60885	O60885	viralprotein	5.15E-12	NA	FALSE	O60885	NA
cov2	NA	cov2	NA	M		P0DTC5	P0DTC5	viralprotein		NA	FALSE	P0DTC5	NA
bindingprot	bindingprot	NA	NA	POLR2B		P30876	P30876	viralprotein		NA;protein	FALSE	P30876	NA
bindingprot	bindingprot	NA	NA	PSMC5		P62195	P62195	viralprotein		NA	FALSE	P62195	NA
bindingprot	bindingprot	NA	NA	PSMD11		O00231	O00231	viralmirna;viralprotein		NA	FALSE	O00231	NA
bindingprot	bindingprot	NA	NA	DNAJA3		Q96EY1	Q96EY1	viralprotein		NA	FALSE	Q96EY1	NA
bindingprot	bindingprot	NA	NA	PSMD6		Q15008	Q15008	viralprotein		NA	FALSE	Q15008	NA
protein	NA	NA	NA	PSMA7	-0.449952224	O14818	O14818	viralmirna	2.72E-08	NA;protein	FALSE	O14818	NA
protein	NA	NA	NA	PSMA6	0.386479065	P60900	P60900	viralmirna;viralprotein	1.12E-09	protein	FALSE	P60900	NA
bindingprot	bindingprot	NA	NA	PSMD7		P51665	P51665	viralprotein		NA	FALSE	P51665	NA
bindingprot	bindingprot	NA	NA	PSMC1	-0.353767767	P62191	P62191	viralprotein	2.89E-08	NA	FALSE	P62191	NA
bindingprot	bindingprot	NA	NA	DNAJC7		Q99615	Q99615	viralprotein		NA	FALSE	Q99615	NA
bindingprot	bindingprot	NA	NA	PSMD2	-0.250300688	Q13200	Q13200	viralprotein	0.004899782	NA	FALSE	Q13200	NA
bindingprot	bindingprot	NA	NA	PSMC2		P35998	P35998	viralprotein		NA	FALSE	P35998	NA
bindingprot	bindingprot	NA	NA	PSMD1		Q99460	Q99460	viralprotein		NA	FALSE	Q99460	NA
bindingprot	bindingprot	NA	NA	HSPA4		P34932	P34932	viralprotein		NA	FALSE	P34932	NA
bindingprot	bindingprot	NA	NA	SLC30A9		Q6PML9	Q6PML9	viralprotein		NA	FALSE	Q6PML9	NA
bindingprot	bindingprot	NA	NA	PITRM1		Q5JRX3	Q5JRX3	viralprotein		NA	FALSE	Q5JRX3	NA
bindingprot	bindingprot	NA	NA	REEP5	-0.484416659	Q00765	Q00765	viralprotein	6.41E-11	NA	FALSE	Q00765	NA
bindingprot	bindingprot	NA	NA	PSMD8	-0.378500328	P48556	P48556	viralprotein	6.01E-05	NA	FALSE	P48556	NA
bindingprot	bindingprot	NA	NA	GGCX		P38435	P38435	viralprotein		NA	FALSE	P38435	NA
bindingprot;protein	bindingprot	NA	NA	ARFGEF1		Q9Y6D6	Q9Y6D6	viralprotein		protein	FALSE	Q9Y6D6	NA
bindingprot;protein	bindingprot	NA	NA	ARFGEF2		Q9Y6D5	Q9Y6D5	viralprotein		protein	FALSE	Q9Y6D5	NA
bindingprot	bindingprot	NA	NA	CDK5RAP3		Q96JB5	Q96JB5	viralprotein		NA	FALSE	Q96JB5	NA
protein	NA	NA	NA	GBF1		Q92538	Q92538	viralmirna;viralprotein		protein	FALSE	Q92538	NA
bindingprot	bindingprot	NA	NA	NLRX1		Q86UT6	Q86UT6	viralprotein		NA	FALSE	Q86UT6	NA
bindingprot	bindingprot	NA	NA	PLEKHG4		Q58EX7	Q58EX7	viralprotein		NA	FALSE	Q58EX7	NA
bindingprot	bindingprot	NA	NA	NFE2L2		Q16236	Q16236	viralprotein		NA	FALSE	Q16236	NA
bindingprot	bindingprot	NA	NA	UBE3C		Q15386	Q15386	viralprotein		NA	FALSE	Q15386	NA
protein	NA	NA	NA	CAV1		Q03135	Q03135	viralmirna		NA;protein	FALSE	Q03135	NA
bindingprot	bindingprot	NA	NA	ELF3	0.627226922	P78545	P78545	viralprotein	4.75E-08	NA	FALSE	P78545	NA
bindingprot	bindingprot	NA	NA	CAV2	-0.335232086	P51636	P51636	viralprotein	6.06E-04	NA	FALSE	P51636	NA
bindingprot;protein	bindingprot	NA	NA	IRAK1		P51617	P51617	viralprotein		protein	FALSE	P51617	NA
bindingprot	bindingprot	NA	NA	PSEN2		P49810	P49810	viralprotein		NA	FALSE	P49810	NA
bindingprot	bindingprot	NA	NA	NR2C2		P49116	P49116	viralprotein		NA;protein	FALSE	P49116	NA
bindingprot	bindingprot	NA	NA	SLC9A1		P19634	P19634	viralprotein		NA	FALSE	P19634	NA
bindingprot	bindingprot	NA	NA	SERPINE2		P07093	P07093	viralprotein		NA	FALSE	P07093	NA
bindingprot;protein	bindingprot	NA	NA	JAK2	0.336488584	O60674	O60674	viralmirna;viralprotein	1.12E-10	protein	FALSE	O60674	NA
bindingprot	bindingprot	NA	NA	HAX1		O00165	O00165	viralprotein		NA	FALSE	O00165	NA
cov2	NA	cov2	NA	orf6		P0DTC6	P0DTC6	viralprotein		NA	FALSE	P0DTC6	NA
bindingprot	bindingprot	NA	NA	NUP98		P52948	P52948	viralmirna;viralprotein		NA	FALSE	P52948	NA
bindingprot	bindingprot	NA	NA	RAE1		P78406	P78406	viralprotein		NA	FALSE	P78406	NA
bindingprot	bindingprot	NA	NA	MYCBP2	0.577144569	O75592	O75592	viralprotein	7.47E-24	NA	FALSE	O75592	NA
bindingprot	bindingprot	NA	NA	DCTN2		Q13561	Q13561	viralprotein		NA	FALSE	Q13561	NA
cov2	NA	cov2	NA	orf7a		P0DTC7	P0DTC7	viralprotein		NA	FALSE	P0DTC7	NA
bindingprot;protein	bindingprot	NA	NA	PPP2R1A	-0.270404569	P30153	P30153	viralmirna;viralprotein	0.00670766	protein	FALSE	P30153	NA
bindingprot	bindingprot	NA	NA	PSMD13		Q9UNM6	Q9UNM6	viralprotein		NA	FALSE	Q9UNM6	NA
protein	NA	NA	NA	ATM		Q13315	Q13315	viralmirna;viralprotein		protein	FALSE	Q13315	NA
bindingprot	bindingprot	NA	NA	XPO5		Q9HAV4	Q9HAV4	viralprotein		NA	FALSE	Q9HAV4	NA
bindingprot	bindingprot	NA	NA	SCAI		Q8N9R8	Q8N9R8	viralprotein		NA	FALSE	Q8N9R8	NA
bindingprot	bindingprot	NA	NA	NUP93		Q8N1F7	Q8N1F7	viralprotein		NA	FALSE	Q8N1F7	NA
bindingprot	bindingprot	NA	NA	NUP188		Q5SRE5	Q5SRE5	viralprotein		NA	FALSE	Q5SRE5	NA
bindingprot;protein	bindingprot	NA	NA	ATR		Q13535	Q13535	viralmirna;viralprotein		protein	FALSE	Q13535	NA
bindingprot	bindingprot	NA	NA	NF1		P21359	P21359	viralprotein		NA	FALSE	P21359	NA
bindingprot	bindingprot	NA	NA	BTAF1		O14981	O14981	viralprotein		NA	FALSE	O14981	NA
cov2	NA	cov2	NA	orf8		P0DTC8	P0DTC8	viralprotein		NA	FALSE	P0DTC8	NA
bindingprot	bindingprot	NA	NA	GNAS	-0.301519621	Q5JWF2	Q5JWF2	viralprotein	0.004630797	NA	FALSE	Q5JWF2	NA
bindingprot	bindingprot	NA	NA	LTBP1		Q14766	Q14766	viralprotein		NA;protein	FALSE	Q14766	NA
bindingprot	bindingprot	NA	NA	PDIA3	-0.64633083	P30101	P30101	viralprotein	4.43E-13	NA	FALSE	P30101	NA
bindingprot;protein	bindingprot	NA	NA	ITGA3		P26006	P26006	viralmirna;viralprotein		protein	FALSE	P26006	NA
bindingprot	bindingprot	NA	NA	IGFBP3	-0.766874541	P17936	P17936	viralprotein	6.70E-07	NA;protein	FALSE	P17936	NA
bindingprot	bindingprot	NA	NA	SERPINE1		P05121	P05121	viralprotein		NA;protein	FALSE	P05121	NA
bindingprot;protein;deg	bindingprot	NA	deg	PLAU	0.855067488	P00749	P00749	viralprotein	4.80E-06	NA;protein	FALSE	P00749	NA
bindingprot	bindingprot	NA	NA	POFUT1		Q9H488	Q9H488	viralmirna;viralprotein		NA	FALSE	Q9H488	NA
bindingprot	bindingprot	NA	NA	GDF15	-0.374306112	Q99988	Q99988	viralprotein	1	NA	FALSE	Q99988	NA
bindingprot	bindingprot	NA	NA	OS9	-0.477052599	Q13438	Q13438	viralprotein	1.69E-12	NA	FALSE	Q13438	NA
bindingprot	bindingprot	NA	NA	PCSK6		P29122	P29122	viralprotein		NA	FALSE	P29122	NA
bindingprot;protein	bindingprot	NA	NA	ITGB1	-0.826864148	P05556	P05556	viralmirna;viralprotein	6.67E-28	protein	FALSE	P05556	NA
cov2	NA	cov2	NA	N		P0DTC9	P0DTC9	viralprotein		NA	FALSE	P0DTC9	NA
bindingprot	bindingprot	NA	NA	PSME3		P61289	P61289	viralprotein		NA	FALSE	P61289	NA
bindingprot	bindingprot	NA	NA	DLD	-0.250167878	P09622	P09622	viralprotein	5.33E-06	NA	FALSE	P09622	NA
bindingprot	bindingprot	NA	NA	HNRNPA0		Q13151	Q13151	viralprotein		NA	FALSE	Q13151	NA
protein	NA	NA	NA	G3BP1		Q13283	Q13283	viralmirna		NA;protein	FALSE	Q13283	NA
bindingprot	bindingprot	NA	NA	HSPA1A		P0DMV8	P0DMV8	viralprotein		NA	FALSE	P0DMV8	NA
bindingprot	bindingprot	NA	NA	DDX21		Q9NR30	Q9NR30	viralprotein		NA	FALSE	Q9NR30	NA
bindingprot	bindingprot	NA	NA	SNIP1	0.309866074	Q8TAD8	Q8TAD8	viralprotein	6.98E-13	NA;protein	FALSE	Q8TAD8	NA
protein	NA	NA	NA	CSNK2B		P67870	P67870	viralmirna;viralprotein		protein	FALSE	P67870	NA
bindingprot;protein	bindingprot	NA	NA	CSNK2A2		P19784	P19784	viralprotein		protein	FALSE	P19784	NA
bindingprot	bindingprot	NA	NA	PABPC1		P11940	P11940	viralprotein		NA	FALSE	P11940	NA
bindingprot	bindingprot	NA	NA	SSBP1		Q04837	Q04837	viralprotein		NA	FALSE	Q04837	NA
bindingprot	bindingprot	NA	NA	SRPK1		Q96SB4	Q96SB4	viralmirna;viralprotein		NA	FALSE	Q96SB4	NA
protein	NA	NA	NA	SRPK2		P78362	P78362	viralmirna;viralprotein		protein	FALSE	P78362	NA
cov2	NA	cov2	NA	nsp1		P0DTD1-PRO_0000449619	P0DTD1-PRO_0000449619	viralprotein		NA	FALSE	P0DTD1-PRO_0000449619	NA
bindingprot	bindingprot	NA	NA	EEF1A1	-0.666187449	P68104	P68104	viralprotein	1.13E-13	NA	FALSE	P68104	NA
bindingprot	bindingprot	NA	NA	EIF3F		O00303	O00303	viralprotein		NA;protein	FALSE	O00303	NA
cov2	NA	cov2	NA	nsp2		P0DTD1-PRO_0000449620	P0DTD1-PRO_0000449620	viralprotein		NA	FALSE	P0DTD1-PRO_0000449620	NA
bindingprot	bindingprot	NA	NA	RSL1D1		O76021	O76021	viralprotein		NA	FALSE	O76021	NA
protein	NA	NA	NA	HNRNPUL1		Q9BUJ2	Q9BUJ2	viralmirna		NA;protein	FALSE	Q9BUJ2	NA
bindingprot	bindingprot	NA	NA	RAP1GDS1		P52306	P52306	viralprotein		NA	FALSE	P52306	NA
cov2	NA	cov2	NA	nsp3		P0DTD1-PRO_0000449621	P0DTD1-PRO_0000449621	viralprotein		NA	FALSE	P0DTD1-PRO_0000449621	NA
bindingprot	bindingprot	NA	NA	FMR1		Q06787	Q06787	viralmirna;viralprotein		NA	FALSE	Q06787	NA
bindingprot	bindingprot	NA	NA	PARP10	0.444220057	Q53GL7	Q53GL7	viralprotein	2.03E-16	NA	FALSE	Q53GL7	NA
bindingprot	bindingprot	NA	NA	ISG15	1.757371882	P05161	P05161	viralprotein	2.46E-44	NA	FALSE	P05161	NA
cov2	NA	cov2	NA	nsp4		P0DTD1-PRO_0000449622	P0DTD1-PRO_0000449622	viralprotein		NA	FALSE	P0DTD1-PRO_0000449622	NA
bindingprot	bindingprot	NA	NA	PUF60		Q9UHX1	Q9UHX1	viralprotein		NA	FALSE	Q9UHX1	NA
bindingprot	bindingprot	NA	NA	MTDH		Q86UE4	Q86UE4	viralprotein		NA	FALSE	Q86UE4	NA
bindingprot	bindingprot	NA	NA	PRPF4B		Q13523	Q13523	viralprotein		NA	FALSE	Q13523	NA
bindingprot	bindingprot	NA	NA	NKRF		O15226	O15226	viralprotein		NA	FALSE	O15226	NA
bindingprot	bindingprot	NA	NA	IDE		P14735	P14735	viralmirna;viralprotein		NA	FALSE	P14735	NA
cov2	NA	cov2	NA	nsp5		P0DTD1-PRO_0000449623	P0DTD1-PRO_0000449623	viralprotein		NA	FALSE	P0DTD1-PRO_0000449623	NA
bindingprot;protein	bindingprot	NA	NA	HDAC2		Q92769	Q92769	viralprotein		NA;protein	FALSE	Q92769	NA
cov2	NA	cov2	NA	nsp6		P0DTD1-PRO_0000449624	P0DTD1-PRO_0000449624	viralprotein		NA	FALSE	P0DTD1-PRO_0000449624	NA
bindingprot	bindingprot	NA	NA	UBIAD1		Q9Y5Z9	Q9Y5Z9	viralprotein		NA	FALSE	Q9Y5Z9	NA
protein	NA	NA	NA	EBP	-0.464655564	Q15125	Q15125	viralmirna	2.90E-11	NA;protein	FALSE	Q15125	NA
bindingprot	bindingprot	NA	NA	PEX2		P28328	P28328	viralmirna;viralprotein		NA	FALSE	P28328	NA
