ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
LRPAP1	LDLR	imm_enterocyte_2	downreg	13	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,NK,Treg,cycling_Tcell,macrophage,plasma
LRPAP1	LRP1	imm_enterocyte_2	downreg	12	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,ILC,Treg,cycling_Bcell,macrophage,plasma
LRPAP1	LRP8	imm_enterocyte_2	downreg	11	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,DC2,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,plasma
LRPAP1	SORL1	imm_enterocyte_2	downreg	17	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
LRPAP1	SORT1	imm_enterocyte_2	downreg	12	CD4_activ_fos_hi,CD8_IEL,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,macrophage,mast_cell1,plasma
LRPAP1	VLDLR	imm_enterocyte_2	downreg	7	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD8_IEL,CD8_LP,cycling_Bcell,plasma
PI3	PLD2	imm_enterocyte_2	downreg	13	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC1,DC2,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,plasma
PLAUR	ITGB3	imm_enterocyte_2	downreg	1	plasma
PSAP	CD1B	imm_enterocyte_2	downreg	1	DC2
PSAP	CELSR1	imm_enterocyte_2	downreg	5	CD4_activ_fos_hi,GC_Bcell,NK,macrophage,plasma
PSAP	LRP1	imm_enterocyte_2	downreg	12	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,ILC,Treg,cycling_Bcell,macrophage,plasma
PSAP	SORT1	imm_enterocyte_2	downreg	12	CD4_activ_fos_hi,CD8_IEL,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,macrophage,mast_cell1,plasma
RPS27A	ADRB2	ta	upreg	18	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
RPS27A	LDLR	ta	upreg	13	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,NK,Treg,cycling_Tcell,macrophage,plasma
RPS27A	RIPK1	ta	upreg	17	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
RPS27A	SMAD3	ta	upreg	18	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Tcell,macrophage,mast_cell1,plasma
RPS27A	TGFBR1	ta	upreg	17	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC1,DC2,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
RPS27A	TGFBR2	ta	upreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
RPS27A	TLR4	ta	upreg	5	CD4_activ_fos_hi,DC2,cycling_Bcell,macrophage,plasma
RTN4	GJB2	imm_enterocyte_2	downreg	11	CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC1,DC2,GC_Bcell,Treg,cycling_Bcell,macrophage,plasma
RTN4	NGFR	imm_enterocyte_2	downreg	5	CD4_activ_fos_hi,CD4_activ_fos_lo,CD8_LP,Treg,plasma
RTN4	TNFRSF19	imm_enterocyte_2	downreg	1	plasma
S100A6	ESR1	imm_enterocyte_2	downreg	1	plasma
SLPI	CD4	imm_enterocyte_2	downreg	15	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,Treg,cycling_Tcell,macrophage,mast_cell1,plasma
SLPI	PLSCR1	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
SLPI	PLSCR4	imm_enterocyte_2	downreg	5	CD4_activ_fos_hi,Treg,macrophage,mast_cell1,plasma
TIMP2	ITGA3	imm_enterocyte_2	downreg	13	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,NK,Treg,mast_cell1,mast_cell2,plasma
TIMP2	ITGB1	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
TNF	AKT1	imm_enterocyte_2	upreg	19	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
TNF	CD83	imm_enterocyte_2	upreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
TNF	CDH11	imm_enterocyte_2	upreg	6	CD4_activ_fos_lo,CD8_LP,DC1,macrophage,mast_cell1,plasma
TNF	CELSR2	imm_enterocyte_2	upreg	5	CD4_activ_fos_lo,CD8_LP,macrophage,mast_cell1,plasma
