gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
FBP1	0.00000	1.06683	0.90200	0.45500	0.00000	ciliated_sars_vs_healthy
TFF1	0.00000	1.06891	0.53700	0.10300	0.00000	ciliated_sars_vs_healthy
S100A14	0.00000	1.07653	0.96100	0.83900	0.00000	ciliated_sars_vs_healthy
SAA2	0.00000	1.08211	0.57900	0.25400	0.00000	ciliated_sars_vs_healthy
C19orf33	0.00000	1.09934	0.95300	0.84400	0.00000	ciliated_sars_vs_healthy
TSPAN1	0.00000	1.10525	0.97100	0.92800	0.00000	ciliated_sars_vs_healthy
ATP12A	0.00000	1.11940	0.67400	0.20300	0.00000	ciliated_sars_vs_healthy
SEC61G	0.00000	1.12253	0.93700	0.73900	0.00000	ciliated_sars_vs_healthy
CXCL6	0.00000	1.14427	0.60200	0.17000	0.00000	ciliated_sars_vs_healthy
TMSB10	0.00000	1.15621	0.97500	0.97200	0.00000	ciliated_sars_vs_healthy
PI3	0.00000	1.15747	0.93300	0.63900	0.00000	ciliated_sars_vs_healthy
LGALS3	0.00000	1.16343	0.97500	0.96100	0.00000	ciliated_sars_vs_healthy
CEACAM5	0.00000	1.16412	0.92600	0.48300	0.00000	ciliated_sars_vs_healthy
TSPAN8	0.00000	1.16934	0.75900	0.31300	0.00000	ciliated_sars_vs_healthy
SMIM22	0.00000	1.27840	0.90800	0.56500	0.00000	ciliated_sars_vs_healthy
IFITM3	0.00000	1.35567	0.93000	0.76200	0.00000	ciliated_sars_vs_healthy
IFITM1	0.00000	1.36365	0.85200	0.30700	0.00000	ciliated_sars_vs_healthy
C15orf48	0.00000	1.40066	0.81300	0.42300	0.00000	ciliated_sars_vs_healthy
LCN2	0.00000	1.63619	0.97100	0.76600	0.00000	ciliated_sars_vs_healthy
LY6D	0.00000	1.69650	0.80200	0.49000	0.00000	ciliated_sars_vs_healthy
SAA1	0.00000	1.71155	0.62700	0.28600	0.00000	ciliated_sars_vs_healthy
IFI6	0.00000	1.71201	0.84200	0.36900	0.00000	ciliated_sars_vs_healthy
